,PRP$,IN,RB,NN,NNPS,UH,POS,WP,JJ,JJS,.,:,$,LS,RBR,MD,PDT,-RRB-,CC,TO,VBG,PRP,NNS,WRB,DT,RBS,VBN,JJR,WDT,NNP,",",VB,VBP,VBD,EX,#,-LRB-,RP,WP$,``,FW,'',VBZ,CD
START,0.007874015748031496,0.12472440944881888,0.0462992125984252,0.045039370078740155,0.003464566929133858,0.0006299212598425197,0.0003149606299212598,0.0047244094488188984,0.03779527559055119,0.0015748031496062992,0.0003149606299212598,0.003464566929133858,0.0012598425196850393,0.002519685039370079,0.0009448818897637796,0.0006299212598425197,0.0009448818897637796,0.0003149606299212598,0.05165354330708662,0.0031496062992125984,0.01196850393700787,0.06078740157480314,0.04598425196850393,0.006299212598425198,0.23275590551181102,0.0006299212598425197,0.006929133858267717,0.003464566929133858,0.0009448818897637796,0.19244094488188973,0.0003149606299212598,0.003464566929133858,0.0006299212598425197,0.0009448818897637796,0.005039370078740158,0.0003149606299212598,0.0018897637795275595,0.0003149606299212598,0.0003149606299212598,0.07590551181102363,0.0003149606299212598,0.0006299212598425197,0.002204724409448819,0.007874015748031496
PRP$,0.0015360983102918593,0.0015360983102918593,0.003072196620583716,0.4009216589861751,0.003072196620583716,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.2227342549923195,0.015360983102918583,0.0015360983102918593,0.0015360983102918593,0.01382488479262673,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.007680491551459291,0.0015360983102918593,0.18433179723502305,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.009216589861751152,0.004608294930875575,0.0015360983102918593,0.0552995391705069,0.003072196620583716,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.003072196620583716,0.0015360983102918593,0.0015360983102918593,0.004608294930875575,0.0015360983102918593,0.0015360983102918593,0.0015360983102918593,0.024577572964669735
IN,0.0336979756066893,0.01722620394819565,0.012448132780082983,0.11165597887589587,0.00238903558405633,0.00012573871495033328,0.00012573871495033328,0.0020118194392053316,0.09669307179680625,0.004400855023261662,0.0030177291588079982,0.0002514774299006666,0.026530868854520304,0.00012573871495033328,0.001257387149503332,0.00012573871495033328,0.0007544322897019993,0.00012573871495033328,0.001257387149503332,0.002891990443857663,0.031434678737583294,0.03168615616748398,0.06186344775556393,0.0013831258644536651,0.31711303910474037,0.00012573871495033328,0.005281026027913996,0.005909719602665659,0.004023638878410663,0.1479944674965422,0.0027662517289073307,0.0005029548598013328,0.00037721614485099967,0.0008801710046523324,0.001257387149503332,0.0011316484345529993,0.00012573871495033328,0.0002514774299006666,0.00012573871495033328,0.0070413680372186606,0.0002514774299006666,0.0002514774299006666,0.0005029548598013328,0.060606060606060615
RB,0.0008609556607834696,0.12096427034007746,0.07232027550581145,0.013775290572535518,0.0008609556607834696,0.0004304778303917347,0.0004304778303917347,0.002152389151958674,0.09728798966853208,0.0004304778303917347,0.04649160568230736,0.006026689625484288,0.008609556607834697,0.0004304778303917347,0.007318123116659491,0.011192423590185109,0.0008609556607834696,0.0004304778303917347,0.008179078777442958,0.024537236332328884,0.03572965992251399,0.003874300473525615,0.00516573396470082,0.002152389151958674,0.05165733964700818,0.0004304778303917347,0.09556607834696514,0.017219113215669397,0.002152389151958674,0.0034438226431338786,0.09040034438226431,0.09427464485578992,0.030563925957813168,0.06543263021954368,0.0012914334911752047,0.0004304778303917347,0.0012914334911752047,0.0004304778303917347,0.0004304778303917347,0.0017219113215669393,0.0004304778303917347,0.0017219113215669393,0.03529918209212226,0.03529918209212226
NN,0.0003748828491096532,0.2473289597000937,0.01630740393626991,0.1285848172446111,9.372071227741336e-05,9.372071227741336e-05,0.021087160262417998,0.0026241799437675727,0.008903467666354269,0.00028116213683223993,0.10506091846298034,0.015276476101218364,0.00028116213683223993,9.372071227741336e-05,0.0007497656982193064,0.0148078725398313,9.372071227741336e-05,0.0020618556701030924,0.0373008434864105,0.03851921274601688,0.008153701968134962,0.004123711340206186,0.08163074039362697,0.00224929709465792,0.00796626054358013,9.372071227741336e-05,0.008153701968134962,0.00224929709465792,0.008341143392689787,0.0077788191190253046,0.11180880974695406,0.0015932521087160258,0.0039362699156513595,0.0472352389878163,0.00018744142455482673,9.372071227741336e-05,0.0016869728209934402,0.00046860356138706644,0.00018744142455482673,0.0034676663542642923,0.00018744142455482673,0.00571696344892221,0.04611059044048734,0.006654170571696343
NNPS,0.0042016806722689065,0.07563025210084033,0.012605042016806723,0.021008403361344543,0.012605042016806723,0.0042016806722689065,0.04201680672268907,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.07563025210084033,0.037815126050420166,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.025210084033613446,0.0042016806722689065,0.008403361344537813,0.054621848739495805,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.008403361344537813,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.3109243697478992,0.10504201680672268,0.0042016806722689065,0.037815126050420166,0.037815126050420166,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.0042016806722689065,0.008403361344537813,0.0042016806722689065,0.0042016806722689065,0.012605042016806723,0.0042016806722689065
UH,0.021276595744680854,0.042553191489361694,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.042553191489361694,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.042553191489361694,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854,0.021276595744680854
POS,0.0013966480446927373,0.002793296089385475,0.006983240223463688,0.38687150837988826,0.008379888268156428,0.0013966480446927373,0.0013966480446927373,0.002793296089385475,0.19972067039106145,0.02094972067039106,0.011173184357541902,0.0013966480446927373,0.006983240223463688,0.0013966480446927373,0.0013966480446927373,0.0013966480446927373,0.0013966480446927373,0.002793296089385475,0.006983240223463688,0.0013966480446927373,0.011173184357541902,0.0013966480446927373,0.1187150837988827,0.0013966480446927373,0.0013966480446927373,0.002793296089385475,0.009776536312849162,0.002793296089385475,0.0013966480446927373,0.11731843575418996,0.006983240223463688,0.0013966480446927373,0.0013966480446927373,0.009776536312849162,0.0013966480446927373,0.0013966480446927373,0.0013966480446927373,0.0013966480446927373,0.0013966480446927373,0.006983240223463688,0.0013966480446927373,0.0013966480446927373,0.004189944134078213,0.022346368715083803
WP,0.012987012987012983,0.021645021645021644,0.030303030303030304,0.012987012987012983,0.004329004329004331,0.004329004329004331,0.008658008658008661,0.004329004329004331,0.008658008658008661,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.056277056277056266,0.008658008658008661,0.004329004329004331,0.004329004329004331,0.008658008658008661,0.004329004329004331,0.047619047619047616,0.008658008658008661,0.004329004329004331,0.03463203463203464,0.008658008658008661,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.02597402597402598,0.008658008658008661,0.004329004329004331,0.1645021645021645,0.18614718614718614,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.004329004329004331,0.22943722943722944,0.008658008658008661
JJ,0.0004181476061049549,0.05854066485469372,0.003554254651892117,0.44595442191093454,0.0006272214091574325,0.00020907380305247746,0.00020907380305247746,0.0004181476061049549,0.06251306711269078,0.0006272214091574325,0.02425256115408739,0.002927033242734685,0.00167259042441982,0.00020907380305247746,0.0006272214091574325,0.00020907380305247746,0.00020907380305247746,0.0004181476061049549,0.017562199456408117,0.02613422538155969,0.003972402257997074,0.0014635166213673423,0.2383441354798244,0.0008362952122099099,0.004390549864102028,0.00020907380305247746,0.003136107045787163,0.0006272214091574325,0.00020907380305247746,0.034915325109763744,0.030315701442609238,0.00020907380305247746,0.0008362952122099099,0.0008362952122099099,0.00020907380305247746,0.00020907380305247746,0.0008362952122099099,0.0004181476061049549,0.00020907380305247746,0.002299811833577252,0.00020907380305247746,0.004390549864102028,0.0014635166213673423,0.022161823123562623
