,PRP$,IN,RB,NN,NNPS,UH,POS,WP,JJ,JJS,.,:,SYM,$,LS,RBR,MD,PDT,-RRB-,CC,TO,VBG,PRP,NNS,WRB,DT,RBS,VBN,JJR,WDT,NNP,",",VB,VBP,VBD,EX,#,-LRB-,RP,WP$,``,FW,'',VBZ,CD
START,0.007554296506137867,0.12905256531318854,0.045325779036827205,0.045325779036827205,0.002203336480956877,0.0006295247088448219,0.00031476235442241097,0.002518098835379288,0.03745672017626691,0.0018885741265344666,0.00031476235442241097,0.002518098835379288,0.00031476235442241097,0.001259049417689644,0.0018885741265344666,0.001259049417689644,0.0006295247088448219,0.001259049417689644,0.00031476235442241097,0.051621026125275415,0.004091910607491344,0.011016682404784386,0.06295247088448222,0.04627006610009444,0.0056657223796034014,0.22914699401951527,0.0006295247088448219,0.005980484734025813,0.003462385898646521,0.0009442870632672332,0.19767075857727412,0.00031476235442241097,0.003777148253068933,0.0006295247088448219,0.0009442870632672332,0.004091910607491344,0.00031476235442241097,0.001573811772112055,0.00031476235442241097,0.00031476235442241097,0.07365439093484419,0.00031476235442241097,0.00031476235442241097,0.0031476235442241102,0.00881334592382751
PRP$,0.0014992503748125943,0.002998500749625186,0.002998500749625186,0.42278860569715143,0.002998500749625186,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.20089955022488756,0.011994002998500746,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.013493253373313344,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.005997001499250373,0.0014992503748125943,0.19490254872563717,0.0014992503748125943,0.0014992503748125943,0.002998500749625186,0.005997001499250373,0.002998500749625186,0.0014992503748125943,0.05847076461769117,0.002998500749625186,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.0014992503748125943,0.002998500749625186,0.0014992503748125943,0.0014992503748125943,0.002998500749625186,0.019490254872563718
IN,0.034299455765093016,0.018478673585622073,0.014555119605113279,0.11011264396911785,0.0020250601189722825,0.00012656625743576774,0.00012656625743576774,0.002657891406151119,0.09416529553221113,0.004682951525123403,0.0027844576635868883,0.00025313251487153504,0.00012656625743576774,0.025566384002025058,0.00012656625743576774,0.0011390963169219082,0.00025313251487153504,0.0012656625743576765,0.00012656625743576774,0.0012656625743576765,0.0030375901784584223,0.03024933552714846,0.032654094418428044,0.06290342994557649,0.0008859638020503735,0.31514998101506136,0.00012656625743576774,0.005315782812302238,0.005695481584609543,0.004050120237944566,0.1474496899126693,0.0030375901784584223,0.000379698772307303,0.000379698772307303,0.0012656625743576765,0.0011390963169219082,0.0011390963169219082,0.00012656625743576774,0.00025313251487153504,0.00025313251487153504,0.006201746614352616,0.00012656625743576774,0.000379698772307303,0.0005062650297430706,0.06315656246044805
RB,0.0017152658662092628,0.1153516295025729,0.07075471698113209,0.015008576329331051,0.0008576329331046313,0.0004288164665523156,0.0004288164665523156,0.0021440823327615786,0.09862778730703256,0.0008576329331046313,0.04288164665523156,0.0055746140651801,0.0004288164665523156,0.008576329331046314,0.0004288164665523156,0.007718696397941679,0.010291595197255572,0.0008576329331046313,0.0004288164665523156,0.007718696397941679,0.026157804459691254,0.03516295025728989,0.0034305317324185257,0.00514579759862779,0.0012864493996569473,0.048456260720411655,0.0004288164665523156,0.10248713550600343,0.01543739279588336,0.0012864493996569473,0.0034305317324185257,0.0853344768439108,0.10034305317324184,0.03173241852487135,0.06689536878216124,0.0012864493996569473,0.0004288164665523156,0.0008576329331046313,0.0004288164665523156,0.0004288164665523156,0.0025728987993138947,0.0004288164665523156,0.0017152658662092628,0.03773584905660377,0.03602058319039452
NN,0.00038073481819912415,0.24566914144298496,0.016276413478012564,0.1262135922330097,9.518370454978102e-05,9.518370454978102e-05,0.02170188463735009,0.0029506948410432145,0.008947268227679423,0.0002855511136493434,0.10784313725490197,0.013420902341519138,9.518370454978102e-05,0.00038073481819912415,9.518370454978102e-05,0.0007614696363982484,0.015229392727964973,9.518370454978102e-05,0.0013325718636969346,0.03826384922901199,0.041690462592804116,0.00809061488673139,0.004949552636588616,0.08138206739006282,0.0019988577955454023,0.007233961545783364,9.518370454978102e-05,0.00799543118218161,0.0020940415000951828,0.009232819341328767,0.0078050637730820455,0.1103179135731963,0.0017133066818960595,0.0037121644774414627,0.049685893774985716,0.00019036740909956205,9.518370454978102e-05,0.0017133066818960595,0.0002855511136493434,0.00019036740909956205,0.0027603274319436513,0.00019036740909956205,0.005806205977536643,0.044641157433847334,0.005996573386636209
NNPS,0.004115226337448561,0.07818930041152264,0.012345679012345675,0.02469135802469135,0.012345679012345675,0.004115226337448561,0.037037037037037035,0.004115226337448561,0.004115226337448561,0.004115226337448561,0.07818930041152264,0.04526748971193415,0.004115226337448561,0.004115226337448561,0.004115226337448561,0.004115226337448561,0.028806584362139915,0.004115226337448561,0.004115226337448561,0.049382716049382706,0.008230452674897122,0.004115226337448561,0.004115226337448561,0.012345679012345675,0.004115226337448561,0.004115226337448561,0.004115226337448561,0.004115226337448561,0.004115226337448561,0.004115226337448561,0.26337448559670784,0.12757201646090538,0.004115226337448561,0.03292181069958848,0.0411522633744856,0.004115226337448561,0.004115226337448561,0.008230452674897122,0.004115226337448561,0.004115226337448561,0.008230452674897122,0.004115226337448561,0.004115226337448561,0.020576131687242795,0.004115226337448561
UH,0.02083333333333333,0.041666666666666664,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.041666666666666664,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.041666666666666664,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333,0.02083333333333333
POS,0.001428571428571429,0.004285714285714284,0.00714285714285714,0.3842857142857143,0.005714285714285712,0.001428571428571429,0.001428571428571429,0.0028571428571428584,0.1985714285714286,0.015714285714285722,0.011428571428571425,0.001428571428571429,0.001428571428571429,0.00857142857142857,0.001428571428571429,0.001428571428571429,0.001428571428571429,0.001428571428571429,0.001428571428571429,0.005714285714285712,0.001428571428571429,0.011428571428571425,0.001428571428571429,0.12000000000000001,0.001428571428571429,0.001428571428571429,0.004285714285714284,0.01428571428571428,0.0028571428571428584,0.001428571428571429,0.11857142857142859,0.00714285714285714,0.001428571428571429,0.001428571428571429,0.004285714285714284,0.001428571428571429,0.001428571428571429,0.001428571428571429,0.001428571428571429,0.001428571428571429,0.00857142857142857,0.001428571428571429,0.0028571428571428584,0.004285714285714284,0.024285714285714285
WP,0.012244897959183673,0.012244897959183673,0.040816326530612235,0.008163265306122446,0.004081632653061227,0.004081632653061227,0.008163265306122446,0.004081632653061227,0.008163265306122446,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.04489795918367347,0.008163265306122446,0.004081632653061227,0.004081632653061227,0.008163265306122446,0.004081632653061227,0.053061224489795916,0.012244897959183673,0.004081632653061227,0.04489795918367347,0.008163265306122446,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.020408163265306117,0.008163265306122446,0.004081632653061227,0.17959183673469387,0.19591836734693877,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.004081632653061227,0.21224489795918366,0.008163265306122446
JJ,0.000423190859077444,0.060939483707151916,0.003173931443080828,0.4411764705882353,0.00105797714769361,0.0002115954295387218,0.0002115954295387218,0.000423190859077444,0.06411341515023274,0.0006347862886161662,0.022217520101565802,0.0029623360135421083,0.0002115954295387218,0.0016927634363097764,0.0002115954295387218,0.000423190859077444,0.000423190859077444,0.0002115954295387218,0.000423190859077444,0.017774016081252644,0.024756665256030465,0.005078290308929326,0.0019043588658484974,0.24016081252644944,0.0012695725772323323,0.004655099449851884,0.0002115954295387218,0.004020313161235717,0.0008463817181548881,0.0002115954295387218,0.033432077867118076,0.030469741853575955,0.0002115954295387218,0.0008463817181548881,0.0012695725772323323,0.0002115954295387218,0.0002115954295387218,0.0006347862886161662,0.000423190859077444,0.0002115954295387218,0.00211595429538722,0.0002115954295387218,0.004231908590774441,0.0016927634363097764,0.021794329242488367
